,JC_Original,JC_Logit,O_Correct,L_Correct,JC_OnL,noIntersect,Date
124,0.0874316939891,0.111731843575,16,20,0.384615384615,10,2013-07-21
125,0.0695187165775,0.0869565217391,13,16,0.260869565217,6,2013-07-23
126,0.063829787234,0.0869565217391,12,16,0.4,8,2013-07-24
127,0.104972375691,0.063829787234,19,12,0.47619047619,10,2013-07-28
128,0.0810810810811,0.0416666666667,15,8,0.533333333333,8,2013-07-31
129,0.0869565217391,0.190476190476,16,32,0.371428571429,13,2013-08-08
130,0.0588235294118,0.171597633136,11,29,0.333333333333,10,2013-08-12
131,0.0819672131148,0.192771084337,15,32,0.424242424242,14,2013-08-14
132,0.0879120879121,0.178571428571,16,30,0.393939393939,13,2013-08-15
133,0.0582010582011,0.0416666666667,11,8,0.461538461538,6,2013-09-03
134,0.0529100529101,0.0698924731183,10,13,0.533333333333,8,2013-09-08
135,0.0582010582011,0.0471204188482,11,9,0.428571428571,6,2013-09-16
136,0.0752688172043,0.0869565217391,14,16,0.428571428571,9,2013-09-27
137,0.0810810810811,0.0989010989011,15,18,0.571428571429,12,2013-09-29
138,0.0815217391304,0.0874316939891,15,16,0.631578947368,12,2013-10-09
139,0.0698924731183,0.11797752809,13,21,0.545454545455,12,2013-10-13
140,0.0582010582011,0.0471204188482,11,9,0.538461538462,7,2013-10-19
141,0.063829787234,0.063829787234,12,12,0.411764705882,7,2013-10-20
142,0.0362694300518,0.0471204188482,7,9,0.454545454545,5,2013-11-22
143,0.0471204188482,0.0582010582011,9,11,0.538461538462,7,2013-11-23
144,0.123595505618,0.104972375691,22,19,0.464285714286,13,2013-12-15
145,0.0418848167539,0.0934065934066,8,17,0.25,5,2013-12-21
146,0.0310880829016,0.0257731958763,6,5,0.222222222222,2,2013-12-25
147,0.0645161290323,0.047619047619,12,9,0.5,7,2014-01-01
148,0.0418848167539,0.0473684210526,8,9,0.214285714286,3,2014-01-02
149,0.0874316939891,0.0473684210526,16,9,0.388888888889,7,2014-01-06
150,0.0752688172043,0.0810810810811,14,15,0.45,9,2014-01-15
151,0.0752688172043,0.0752688172043,14,14,0.555555555556,10,2014-01-16
152,0.0416666666667,0.0471204188482,8,9,0.7,7,2014-01-24
153,0.0698924731183,0.0698924731183,13,13,0.444444444444,8,2014-01-31
154,0.0526315789474,0.0204081632653,10,4,0.166666666667,2,2014-02-03
155,0.0526315789474,0.0204081632653,10,4,0.166666666667,2,2014-02-04
156,0.0471204188482,0.0526315789474,9,10,0.461538461538,6,2014-02-06
157,0.0695187165775,0.0695187165775,13,13,0.625,10,2014-02-10
158,0.14367816092,0.170588235294,25,29,0.5,18,2014-02-23
159,0.0752688172043,0.0810810810811,14,15,0.45,9,2014-03-24
160,0.0810810810811,0.0989010989011,15,18,0.434782608696,10,2014-04-01
161,0.0928961748634,0.111111111111,17,20,0.541666666667,13,2014-04-03
162,0.111111111111,0.0989010989011,20,18,0.583333333333,14,2014-04-08
163,0.0810810810811,0.0989010989011,15,18,0.434782608696,10,2014-04-14
164,0.0760869565217,0.0760869565217,14,14,0.272727272727,6,2014-04-24
165,0.0756756756757,0.0641711229947,14,12,0.3,6,2014-04-25
166,0.136363636364,0.0752688172043,24,14,0.357142857143,10,2014-05-06
167,0.0752688172043,0.0928961748634,14,17,0.291666666667,7,2014-05-17
168,0.063829787234,0.0471204188482,12,9,0.166666666667,3,2014-05-28
169,0.0752688172043,0.156069364162,14,27,0.413793103448,12,2014-06-14
170,0.0989010989011,0.111111111111,18,20,0.583333333333,14,2014-06-22
171,0.0752688172043,0.0928961748634,14,17,0.631578947368,12,2014-06-26
172,0.0752688172043,0.0582010582011,14,11,0.470588235294,8,2014-06-29
173,0.0810810810811,0.0810810810811,15,15,0.428571428571,9,2014-07-07
174,0.063829787234,0.0869565217391,12,16,0.4,8,2014-07-12
175,0.0928961748634,0.123595505618,17,22,0.56,14,2014-07-13
176,0.0752688172043,0.0526315789474,14,10,0.333333333333,6,2014-07-15
177,0.0810810810811,0.0752688172043,15,14,0.526315789474,10,2014-07-26
178,0.0752688172043,0.0810810810811,14,15,0.526315789474,10,2014-07-28
179,0.0526315789474,0.0416666666667,10,8,0.2,3,2014-08-01
180,0.129943502825,0.0810810810811,23,15,0.461538461538,12,2014-08-16
181,0.0695187165775,0.063829787234,13,12,0.5625,9,2014-08-21
182,0.0695187165775,0.0471204188482,13,9,0.222222222222,4,2014-08-23
183,0.0582010582011,0.0695187165775,11,13,0.5,8,2014-08-27
184,0.0869565217391,0.123595505618,16,22,0.52,13,2014-08-29
185,0.105555555556,0.111731843575,19,20,0.5,13,2014-08-31
186,0.111111111111,0.0989010989011,20,18,0.52,13,2014-09-09
187,0.0989010989011,0.111111111111,18,20,0.52,13,2014-09-11
188,0.0989010989011,0.0928961748634,18,17,0.4,10,2014-09-12
189,0.0869565217391,0.0869565217391,16,16,0.391304347826,9,2014-09-13
190,0.063829787234,0.111111111111,12,20,0.28,7,2014-09-19
191,0.136363636364,0.117318435754,24,21,0.285714285714,10,2014-09-21
192,0.0815217391304,0.0257731958763,15,5,0.333333333333,5,2014-09-23
193,0.0582010582011,0.063829787234,11,12,0.352941176471,6,2014-09-26
194,0.0695187165775,0.063829787234,13,12,0.470588235294,8,2014-09-27
195,0.0526315789474,0.063829787234,10,12,0.466666666667,7,2014-09-30
196,0.063829787234,0.123595505618,12,22,0.36,9,2014-10-11
197,0.0869565217391,0.129943502825,16,23,0.344827586207,10,2014-10-14
198,0.0810810810811,0.142857142857,15,25,0.481481481481,13,2014-10-15
199,0.149425287356,0.0810810810811,26,15,0.464285714286,13,2014-10-26
200,0.123595505618,0.136363636364,22,24,0.586206896552,17,2014-10-27
201,0.106145251397,0.0588235294118,19,11,0.304347826087,7,2014-11-01
202,0.025641025641,0.0362694300518,5,7,0.5,4,2014-11-05
203,0.0989010989011,0.0582010582011,18,11,0.526315789474,10,2014-11-14
204,0.0928961748634,0.123595505618,17,22,0.444444444444,12,2014-11-16
205,0.123595505618,0.156069364162,22,27,0.484848484848,16,2014-11-18
206,0.0989010989011,0.123595505618,18,22,0.428571428571,12,2014-11-24
207,0.0869565217391,0.0695187165775,16,13,0.526315789474,10,2014-11-27
208,0.0752688172043,0.0989010989011,14,18,0.28,7,2014-11-28
209,0.0418848167539,0.0585106382979,8,11,0.583333333333,7,2014-12-02
210,0.0416666666667,0.0416666666667,8,8,0.454545454545,5,2014-12-03
211,0.0471204188482,0.0752688172043,9,14,0.277777777778,5,2014-12-12
212,0.0526315789474,0.0928961748634,10,17,0.285714285714,6,2014-12-14
213,0.0471204188482,0.0810810810811,9,15,0.263157894737,5,2014-12-15
214,0.0416666666667,0.063829787234,8,12,0.538461538462,7,2014-12-18
215,0.0585106382979,0.0418848167539,11,8,0.357142857143,5,2014-12-20
216,0.0585106382979,0.0585106382979,11,11,0.466666666667,7,2014-12-22
217,0.0152284263959,0.010101010101,3,2,0.25,1,2014-12-27
218,0.0869565217391,0.104972375691,16,19,0.458333333333,11,2014-12-31
219,0.0944444444444,0.0765027322404,17,14,0.409090909091,9,2015-01-05
220,0.0531914893617,0.0645161290323,10,12,0.466666666667,7,2015-01-07
221,0.047619047619,0.0760869565217,9,14,0.4375,7,2015-01-08
222,0.0994475138122,0.0815217391304,18,15,0.375,9,2015-01-11
223,0.0928961748634,0.0869565217391,17,16,0.32,8,2015-01-18
224,0.123595505618,0.0416666666667,22,8,0.25,6,2015-01-28
225,0.123595505618,0.0752688172043,22,14,0.333333333333,9,2015-01-29
226,0.117318435754,0.0582010582011,21,11,0.28,7,2015-01-30
227,0.129943502825,0.117318435754,23,21,0.41935483871,13,2015-02-02
228,0.0989010989011,0.104972375691,18,19,0.541666666667,13,2015-02-03
229,0.0928961748634,0.0416666666667,17,8,0.136363636364,3,2015-02-09
230,0.104972375691,0.0695187165775,19,13,0.454545454545,10,2015-02-14
231,0.0810810810811,0.0869565217391,15,16,0.47619047619,10,2015-02-19
232,0.0810810810811,0.129943502825,15,23,0.407407407407,11,2015-03-05
233,0.0756756756757,0.0874316939891,14,16,0.5,10,2015-03-13
234,0.0471204188482,0.0471204188482,9,9,0.8,8,2015-03-18
235,0.0928961748634,0.0869565217391,17,16,0.571428571429,12,2015-03-29
236,0.150289017341,0.191616766467,26,32,0.567567567568,21,2015-04-04
237,0.123595505618,0.123595505618,22,22,0.257142857143,9,2015-04-12
238,0.0752688172043,0.0362694300518,14,7,0.5,7,2015-04-14
239,0.0752688172043,0.111111111111,14,20,0.478260869565,11,2015-04-23
240,0.0989010989011,0.0869565217391,18,16,0.619047619048,13,2015-04-27
241,0.0695187165775,0.063829787234,13,12,0.5625,9,2015-04-30
242,0.123595505618,0.129943502825,22,23,0.5,15,2015-05-03
243,0.0869565217391,0.129943502825,16,23,0.444444444444,12,2015-05-10
244,0.0695187165775,0.0752688172043,13,14,0.421052631579,8,2015-05-11
245,0.063829787234,0.0416666666667,12,8,0.428571428571,6,2015-05-14
246,0.0869565217391,0.123595505618,16,22,0.52,13,2015-05-16
247,0.111111111111,0.129943502825,20,23,0.535714285714,15,2015-05-17
248,0.0989010989011,0.123595505618,18,22,0.333333333333,10,2015-05-25
249,0.0416666666667,0.0582010582011,8,11,0.1875,3,2015-06-01
250,0.0810810810811,0.0928961748634,15,17,0.230769230769,6,2015-06-05
251,0.0698924731183,0.0815217391304,13,15,0.647058823529,11,2015-06-12
252,0.0928961748634,0.0989010989011,17,18,0.521739130435,12,2015-06-13
253,0.104972375691,0.142857142857,19,25,0.51724137931,15,2015-06-14
254,0.0994475138122,0.0698924731183,18,13,0.347826086957,8,2015-06-18
255,0.0874316939891,0.0310880829016,16,6,0.294117647059,5,2015-06-20
256,0.0928961748634,0.0928961748634,17,17,0.545454545455,12,2015-06-24
257,0.137142857143,0.191616766467,24,32,0.473684210526,18,2015-06-28
258,0.063829787234,0.063829787234,12,12,0.5,8,2015-07-03
259,0.063829787234,0.0582010582011,12,11,0.533333333333,8,2015-07-07
260,0.0416666666667,0.0362694300518,8,7,0.363636363636,4,2015-07-14
261,0.0471204188482,0.025641025641,9,5,0.4,4,2015-07-15
262,0.0752688172043,0.0810810810811,14,15,0.526315789474,10,2015-07-25
263,0.0752688172043,0.149425287356,14,26,0.333333333333,10,2015-08-01
264,0.0526315789474,0.111111111111,10,20,0.363636363636,8,2015-08-10
265,0.0526315789474,0.0989010989011,10,18,0.333333333333,7,2015-08-11
266,0.0869565217391,0.156069364162,16,27,0.34375,11,2015-08-16
267,0.0810810810811,0.104972375691,15,19,0.545454545455,12,2015-08-30
268,0.0810810810811,0.0526315789474,15,10,0.315789473684,6,2015-09-02
269,0.0810810810811,0.0810810810811,15,15,0.578947368421,11,2015-09-11
270,0.0695187165775,0.0928961748634,13,17,0.428571428571,9,2015-09-13
271,0.0416666666667,0.0526315789474,8,10,0.636363636364,7,2015-09-14
272,0.063829787234,0.0309278350515,12,6,0.285714285714,4,2015-09-20
273,0.025641025641,0.0309278350515,5,6,0.571428571429,4,2015-09-25
274,0.0309278350515,0.0582010582011,6,11,0.214285714286,3,2015-09-27
275,0.0928961748634,0.0526315789474,17,10,0.35,7,2015-09-30
276,0.0869565217391,0.0582010582011,16,11,0.5,9,2015-10-11
277,0.0526315789474,0.0582010582011,10,11,0.5,7,2015-10-14
278,0.0471204188482,0.0582010582011,9,11,0.428571428571,6,2015-10-15
279,0.0416666666667,0.0362694300518,8,7,0.5,5,2015-10-16
280,0.0362694300518,0.0695187165775,7,13,0.428571428571,6,2015-10-19
281,0.0752688172043,0.0695187165775,14,13,0.8,12,2015-10-25
282,0.0752688172043,0.0928961748634,14,17,0.55,11,2015-11-05
283,0.0810810810811,0.0810810810811,15,15,0.5,10,2015-11-06
284,0.0752688172043,0.0989010989011,14,18,0.454545454545,10,2015-11-22
285,0.0585106382979,0.0756756756757,11,14,0.470588235294,8,2015-11-28
286,0.0585106382979,0.0756756756757,11,14,0.315789473684,6,2015-11-29
287,0.0529100529101,0.0418848167539,10,8,0.5,6,2015-11-30
288,0.0529100529101,0.0310880829016,10,6,0.333333333333,4,2015-12-01
289,0.0752688172043,0.0526315789474,14,10,0.5,8,2015-12-13
290,0.0641711229947,0.0473684210526,12,9,0.5,7,2015-12-14
291,0.0257731958763,0.0257731958763,5,5,0.428571428571,3,2015-12-24
