,JC_Original,JC_Logit,O_Correct,L_Correct,JC_OnL,noIntersect,Date
39,0.0418848167539,0.0473684210526,8,9,0.7,7,2012-06-10
40,0.0418848167539,0.111731843575,8,20,0.272727272727,6,2012-06-24
41,0.111111111111,0.123595505618,20,22,0.68,17,2012-07-01
42,0.104972375691,0.129943502825,19,23,0.615384615385,16,2012-07-03
43,0.0989010989011,0.129943502825,18,23,0.576923076923,15,2012-07-11
44,0.0989010989011,0.0752688172043,18,14,0.454545454545,10,2012-07-17
45,0.063829787234,0.0582010582011,12,11,0.352941176471,6,2012-07-21
46,0.0810810810811,0.0752688172043,15,14,0.380952380952,8,2012-07-23
47,0.0416666666667,0.111111111111,8,20,0.217391304348,5,2012-07-30
48,0.0471204188482,0.156069364162,9,27,0.333333333333,9,2012-08-03
49,0.063829787234,0.0928961748634,12,17,0.526315789474,10,2012-08-11
50,0.0526315789474,0.0416666666667,10,8,0.8,8,2012-08-12
51,0.063829787234,0.0582010582011,12,11,0.352941176471,6,2012-08-15
52,0.0418848167539,0.0815217391304,8,15,0.210526315789,4,2012-08-19
53,0.0418848167539,0.0756756756757,8,14,0.157894736842,3,2012-08-21
54,0.063829787234,0.136363636364,12,24,0.333333333333,9,2012-08-29
55,0.0989010989011,0.0869565217391,18,16,0.888888888889,16,2012-09-10
56,0.111111111111,0.0928961748634,20,17,0.681818181818,15,2012-09-11
57,0.0989010989011,0.0928961748634,18,17,0.842105263158,16,2012-09-17
58,0.0473684210526,0.0529100529101,9,10,0.461538461538,6,2012-09-25
59,0.0362694300518,0.0309278350515,7,6,0.625,5,2012-09-27
60,0.0582010582011,0.0928961748634,11,17,0.555555555556,10,2012-10-05
61,0.0695187165775,0.0928961748634,13,17,0.578947368421,11,2012-10-06
62,0.0810810810811,0.0810810810811,15,15,0.578947368421,11,2012-10-22
63,0.0752688172043,0.0582010582011,14,11,0.666666666667,10,2012-10-25
64,0.063829787234,0.0471204188482,12,9,0.5,7,2012-10-26
65,0.0416666666667,0.0416666666667,8,8,0.777777777778,7,2012-10-29
66,0.0471204188482,0.0526315789474,9,10,0.9,9,2012-10-30
67,0.0362694300518,0.0362694300518,7,7,0.75,6,2012-11-04
68,0.0362694300518,0.063829787234,7,12,0.583333333333,7,2012-11-06
69,0.0362694300518,0.0471204188482,7,9,0.6,6,2012-11-08
70,0.0582010582011,0.0695187165775,11,13,0.411764705882,7,2012-11-11
71,0.0526315789474,0.0752688172043,10,14,0.714285714286,10,2012-11-13
72,0.0310880829016,0.0418848167539,6,8,0.75,6,2012-11-16
73,0.0874316939891,0.0994475138122,16,18,0.7,14,2012-11-23
74,0.0994475138122,0.0815217391304,18,15,0.5,11,2012-11-27
75,0.0810810810811,0.0928961748634,15,17,0.684210526316,13,2012-11-30
76,0.0364583333333,0.0934065934066,7,17,0.2,4,2012-12-09
77,0.0204081632653,0.0471204188482,4,9,0.181818181818,2,2012-12-20
78,0.0526315789474,0.063829787234,10,12,0.375,6,2012-12-28
79,0.0471204188482,0.0471204188482,9,9,0.2,3,2012-12-29
80,0.063829787234,0.0928961748634,12,17,0.380952380952,8,2012-12-31
81,0.0928961748634,0.0695187165775,17,13,0.304347826087,7,2013-01-17
82,0.063829787234,0.104972375691,12,19,0.409090909091,9,2013-01-29
83,0.111111111111,0.0810810810811,20,15,0.590909090909,13,2013-02-13
84,0.0869565217391,0.0810810810811,16,15,0.631578947368,12,2013-02-16
85,0.0928961748634,0.0752688172043,17,14,0.631578947368,12,2013-02-17
