"","Title","freq"
"212","정말로 사랑한다면%by%버스커 버스커(Busker Busker)",105
"213","광화문연가%by%이수영",104
"214","버스 안에서%by%자자(Zaza)",104
"215","아시나요%by%조성모",104
"216","잘가요%by%정재욱",104
"217","취중진담(醉中眞談)%by%전람회",104
"218","BK Love%by%MC 스나이퍼(MC Sniper)",103
"219","공원여행 (Vocal By 현민)%by%페퍼톤스(Peppertones)",103
"220","나 돌아가%by%임정희",103
"221","니가 참 좋아%by%쥬얼리(Jewelry)",103
"222","하루 끝%by%아이유(IU)",103
"223","I Love U, Oh Thank U (feat. 김태우)%by%MC 몽",102
"224","거기서거기 (Without You)%by%다이나믹 듀오(Dynamic Duo)",102
"225","광대 (With BMK)%by%리쌍(Leessang)",102
"226","나는 그 사람이 아프다 (feat. 타루)%by%에피톤 프로젝트(Epitone Project)",102
"227","라라라%by%이수영",102
"228","제주도의 푸른 밤%by%성시경",102
"229","아름다운 날들%by%장혜진",101
"230","안아줘%by%정준일 [메이트]",101
"231","어떤가요%by%화요비",101
"232","Gee%by%소녀시대",100
"233","TV를 껐네... (feat. t윤미래, 권정열 Of 10cm)%by%리쌍(Leessang)",100
"234","그립고 그립고 그립다%by%케이윌(K.Will)",100
"235","비상%by%임재범",100
"236","비행기%by%거북이",100
"237","여름아! 부탁해%by%인디고(Indigo)",100
"238","별 짓 다해봤는데%by%알리(Ali)",99
"239","시간이 흐른 뒤 (As Time Goes By)%by%t윤미래",99
"240","좋다%by%데이브레이크(daybreak)",99
"241","한 남자%by%김종국",99
"242","봄날은 간다 - 영화 '봄날은 간다' 中에서%by%김윤아",98
"243","사랑에 아파본 적 있나요%by%린(LYn)",98
"244","신촌을 못가%by%포스트맨(Postmen)",98
"245","야상곡(夜想曲)%by%김윤아",98
"246","우리 사랑하게 됐어요%by%가인 [브라운아이드걸스]",98
"247","우리 참 좋았는데 (duet with 박정현)%by%성시경",98
"248","팥빙수%by%윤종신",98
"249","심장이 없어%by%에이트(8Eight)",97
"250","첫 이별 그날 밤%by%아이유(IU)",97
"251","Je T'aime%by%해이(Hey)",96
"252","대낮에 한 이별 (feat. 선예 Of Wonder Girls)%by%박진영",96
"253","오늘밤은 어둠이 무서워요%by%10cm(십센치)",96
"254","첫사랑%by%버스커 버스커(Busker Busker)",96
"255","커플 (Couple)%by%젝스키스(Sechs Kies)",96
"256","Rain%by%이적",95
"257","가슴이 뛴다%by%케이윌(K.Will)",95
"258","바람이 불어오는 곳%by%제이레빗(J Rabbit)",95
"259","그대네요%by%성시경",94
"260","기대해%by%걸스데이(Girl's Day)",94
"261","오랜만이야%by%임창정",94
"262","같이 걸을까%by%이적",93
"263","멀어 (feat. Beenzino)%by%프라이머리(Primary)",93
"264","연인%by%김연우",93
"265","챠우챠우 - 아무리 애를 쓰고 막아 보려 해도 너의 목소리가 들려%by%델리 스파이스(Deli Spice)",93
"266","Sunshine%by%짙은(Zitten)",92
"267","감사 (Bonus Track)%by%김동률",92
"268","그랬나봐%by%김형중",92
"269","사랑에 빠지고 싶다%by%김조한",92
"270","사랑은...향기를 남기고%by%테이(Tei)",92
"271","선인장 (Acoustic ver.)%by%에피톤 프로젝트(Epitone Project)",92
"272","Just A Feeling%by%어반 자카파(Urban Zakapa)",91
"273","동경%by%박효신",91
"274","립스틱 (Lipstick)%by%오렌지캬라멜(Orange Caramel)",91
"275","아파 (Slow)%by%투애니원(2NE1)",91
"276","3!4!%by%룰라(Roo'Ra)",90
"277","기적 (duet with 이소은)%by%김동률",90
"278","길%by%지오디(god)",90
"279","바다%by%유피(UP)",90
"280","가시%by%버즈(Buzz)",89
"281","들었다 놨다%by%데이브레이크(daybreak)",89
"282","애송이의 사랑%by%양파",89
"283","조금씩, 천천히, 너에게 (With 타루)%by%노리플라이(no reply)",89
"284","Must Have Love (우리들의 겨울)%by%SG워너비",88
"285","STEP%by%카라(Kara)",88
"286","내입술...따뜻한 커피처럼%by%샵(S#arp)",88
"287","다시 사랑 할 수 있을까 (feat. 다비치)%by%포맨",88
"288","바라만 봐도 좋은데%by%노리플라이(no reply)",88
"289","별 빛이 내린다%by%안녕 바다",88
"290","보통날%by%지오디(god)",88
"291","사랑인가요%by%박새별",88
"292","사랑한다는 말로도 위로가 되지 않는%by%브로콜리너마저",88
"293","...안 되나요... (부제: 화양연화)%by%휘성",87
"294","Promise U%by%바이브(Vibe)",87
"295","Sexy Love%by%티아라(T-ara)",87
"296","사랑 빛%by%씨엔블루(CNBLUE)",87
"297","첫사랑이죠%by%아이유 ＆ 나윤권",87
"298","1994년 어느 늦은 밤%by%장혜진",86
"299","그땐 미처 알지 못했지%by%이적",86
"300","살다가 한번쯤%by%포맨",86
"301","샤이보이 (Shy Boy)%by%시크릿(Secret)",86
"302","Can't Nobody%by%투애니원(2NE1)",85
"303","말해줘 (feat. 엄정화)%by%지누션(Jinusean)",85
"304","나를 사랑했던 사람아%by%허각",84
"305","먼지가 되어%by%김광석",84
"306","미리 메리 크리스마스 (feat. 천둥 Of MBLAQ)%by%아이유(IU)",84
"307","바다의 왕자%by%박명수",84
"308","사랑해 그리고 기억해%by%지오디(god)",84
"309","시작%by%박기영",84
"310","애상%by%10cm(십센치)",84
"311","애인... 있어요%by%이은미",84
"312","여름안에서%by%서연",84
"313","우리 처음 만난 날%by%한희정",84
"314","마지막 사랑%by%박기영",83
"315","발걸음%by%에메랄드 캐슬(Emerald Castle)",83
"316","Little Star%by%스탠딩 에그(Standing Egg)",82
"317","Stay%by%넬(Nell)",82
"318","로맨틱 겨울 (feat. 김진호 Of SG워너비)%by%김진표(JP)",82
"319","속아도 꿈결%by%가을방학",82
"320","1월부터 6월까지 (feat. 윤종신)%by%공일오비(015B)",81
"321","My Soul%by%줄라이(July) [뉴에이지]",81
"322","가수가 된 이유%by%신용재 [4men]",81
"323","듣고 있어?%by%스윙스(Swings)",81
"324","흰눈%by%이루(Eru)",81
"325","그대 (Original ver.)%by%브라운 아이드 소울(Brown Eyed Soul)",80
"326","기다리다%by%윤하(Younha/ユンナ)",80
"327","사랑보다 깊은 상처 (duet with 임재범)%by%박정현",80
"328","천생연분 (Rave)%by%솔리드(Solid)",80
"329","All For You%by%쿨(COOL)",79
"330","귀여워 (With 권정열 Of 10cm)%by%별",79
"331","사랑해%by%스윗소로우(SWEET SORROW)",79
"332","한번만 더%by%나얼(Na-Ul)",79
"333","당신과의 키스를 세어보아요%by%화요비",78
"334","사랑과 전쟁 (Narr. 하하)%by%다비치",78
"335","제발%by%김범수",78
"336","Replay%by%김동률",77
"337","겨울 이야기%by%조관우",77
"338","기대%by%나윤권",77
"339","난 사랑에 빠졌죠%by%박지윤",77
"340","내 삶의 반%by%한경일",77
"341","너무 아픈 사랑은 사랑이 아니었음을%by%김광석",77
"342","뻔한 멜로디 (feat. Crush)%by%Zion.T",77
"343","사랑 Two%by%윤도현",77
"344","사랑의 바보%by%더 넛츠(The Nuts)",77
"345","지나간다%by%김범수",77
"346","토요일 오후에%by%라즈베리필드",77
"347","Happy Together (해피투게더)%by%박지헌",76
"348","그대 내품에%by%유재하",76
"349","그런일은%by%화요비",76
"350","또 한번 사랑은 가고%by%이기찬",76
"351","유자차%by%브로콜리너마저",76
"352","그리고, 남겨진 것들%by%넬(Nell)",75
"353","그리워%by%메이트(Mate)",75
"354","내일을 묻는다 (Album Edit)%by%제이레빗(J Rabbit)",75
"355","복숭아%by%아이유(IU)",75
"356","슬픔활용법%by%김범수",75
"357","정류장%by%버스커 버스커(Busker Busker)",75
"358","그대 내게 다시 (Guitar ver.)%by%럼블 피쉬(Rumble Fish)",74
"359","그때 또 다시 (Again)%by%임창정",74
"360","남자답게%by%플라이 투 더 스카이(Fly To The Sky)",74
"361","내사랑 내곁에%by%김현식",74
"362","아니면서%by%성시경",74
"363","얼음연못%by%두번째 달",74
"364","집에 가지마%by%G-DRAGON",74
"365","다 줄꺼야 (Acustic ver.)%by%조규만",73
"366","바야흐로 사랑의 계절 (With 박새별)%by%이한철",73
"367","산들산들%by%언니네 이발관",73
"368","서시%by%신성우",73
"369","여름 안에서%by%듀스(Deux)",73
"370","Abracadabra%by%브라운 아이드 걸스",72
"371","Hawaian Couple (영화 '내 사랑' 주제곡, 에뛰드 복숭아송 원곡)%by%허밍 어반 스테레오(Humming Urban Stereo)",72
"372","듣는편지%by%40(포티)",72
"373","봄봄봄%by%로이킴",72
"374","사랑... 그게 뭔데%by%양파",72
"375","아틀란티스 소녀%by%보아(BoA)",72
"376","언젠가는%by%나얼(Na-Ul)",72
"377","자기야 여보야 사랑아%by%린(LYn)",72
"378","행복한 나를 (feat. 존박)%by%허각",72
"379","Poison%by%엄정화",71
"380","Without You%by%원타임(1TYM)",71
"381","갈색머리 (feat. 김연우)%by%윤건",71
"382","꿈에선 놀아줘%by%루싸이트 토끼",71
"383","나에게로 떠나는 여행%by%버즈(Buzz)",71
"384","내 눈에는 (feat. 이재훈)%by%싸이(Psy)",71
"385","다시 사랑한다면%by%도원경",71
"386","동경소녀%by%버스커 버스커(Busker Busker)",71
"387","요즘 너 말야 (Album Edit)%by%제이레빗(J Rabbit)",71
"388","운명%by%쿨(COOL)",71
"389","Heaven%by%김현성",70
"390","고백%by%박혜경",70
"391","난 좋아%by%정준일 [메이트]",70
"392","내 마음에 비친 내 모습%by%유재하",70
"393","누구보다 널 사랑해%by%비쥬(Bijou)",70
"394","니가 싫어%by%어반 자카파(Urban Zakapa)",70
"395","대화가 필요해%by%바닐라 어쿠스틱(Vanilla Acoustic)",70
"396","멍%by%김현정",70
"397","사랑한 후에%by%박효신",70
"398","안녕 나의 사랑%by%성시경",70
"399","Gentleman%by%싸이(Psy)",69
"400","Oh Yeah (feat. 박봄)%by%G-DRAGON",69
"401","거짓말%by%BIGBANG",69
"402","그 노래%by%존 박(John Park)",69
"403","말리꽃%by%이승철",69
"404","붙잡고도%by%노을",69
"405","애인이 생기면 하고 싶은 일 (With 비)%by%지나(G.NA)",69
"406","인형의 꿈%by%러브홀릭(Loveholic)",69
"407","입장정리 (feat. 최자, Simon D)%by%프라이머리(Primary)",69
"408","나비 무덤%by%테이크(Take)",68
"409","사랑합니다%by%이재훈 ",68
"410","소망%by%바이브(Vibe)",68
"411","안부 (feat. 나윤권)%by%별",68
"412","어쩌면...%by%버즈(Buzz)",68
"413","좋아 좋아%by%일기예보",68
"414","그 아픔까지 사랑한거야%by%조정현",67
"415","그XX%by%G-DRAGON",67
"416","그게 아니고%by%10cm(십센치)",67
"417","널 사랑하겠어%by%동물원",67
"418","미안해요%by%김건모",67
"419","살다가%by%SG워너비",67
"420","유난히 (feat. 신예원)%by%김진표(JP)",67
"421","입장정리 (feat. 최자 Of 다이나믹듀오, Simon D Of 슈프림팀)%by%프라이머리(Primary)",67
"422","화이트 (White)%by%핑클(Fin.K.L)",67
"423","I Decide%by%헤리티지(Heritage)",66
"424","Rain%by%박혜경",66
"425","내 사람%by%SG워너비",66
"426","먼지가 되어%by%로이킴",66
"427","별빛달빛%by%시크릿(Secret)",66
"428","사랑해도 될까요?%by%유리상자",66
"429","실화%by%린(LYn)",66
"430","아메리카노%by%10cm(십센치)",66
"431","천일동안%by%이승환",66
"432","화분 (알렉스 ver.) ('우리 결혼했어요' 삽입곡)%by%알렉스(Alex) [클래지콰이]",66
"433","1,2,3,4 (원,투,쓰리,포)%by%이하이",65
"434","I GOT A BOY%by%소녀시대",65
"435","바래다 주는 길%by%바이브(Vibe)",65
"436","서른 즈음에%by%김광석",65
"437","와%by%이정현",65
"438","홍대앞에 눈이 내리면%by%윤건",65
"439","후회한다%by%포맨",65
"440","Snowing (베스킨라빈스 CF 삽입곡)%by%어반 자카파(Urban Zakapa)",64
"441","같은 베개...%by%테이(Tei)",64
"442","고백 (Produced By Vibe 윤민수)%by%포맨",64
"443","눈이 오네%by%10cm(십센치)",64
"444","독 (feat. E-Sens Of 슈프림팀)%by%프라이머리(Primary)",64
"445","말하는 대로%by%처진 달팽이(유재석 & 이적)",64
"446","별처럼%by%태연 (Taeyeon)",64
"447","비오는 거리%by%서영은",64
"448","취미는 사랑 (Album ver.)%by%가을방학",64
"449","해요%by%정인호",64
"450","Bad Girl Good Girl%by%미쓰 에이(miss A)",63
"451","Summer Dance%by%이정현",63
"452","U-Go-Girl (With 낯선)%by%이효리",63
"453","기억속의 먼 그대에게%by%박미경",63
"454","너의 뒤에서%by%박진영",63
"455","마법의 성%by%더 클래식(The Classic)",63
"456","말꼬리 (feat. 정준일 - Mate)%by%윤종신",63
"457","사랑한다는 말%by%김동률",63
"458","이브의 경고 (Jungle)%by%박미경",63
"459","이상하다 (Acoustic ver.)%by%박효신",63
"460","출국(出國)%by%하림",63
"461","하얀 겨울%by%미스터 투(Mr.2)",63
"462","7년간의 사랑%by%규현(KYUHYUN)",62
"463","Bike Riding%by%베란다 프로젝트(Verandah Project)",62
"464","겨울일기%by%장나라",62
"465","꿍따리 샤바라%by%클론(Clon)",62
"466","똑같다면%by%브라운 아이드 소울(Brown Eyed Soul)",62
"467","별이 진다네%by%여행스케치",62
"468","봄이다 (임수정 주연 화장품 CF '비욘드' 배경음악)%by%두번째 달",62
"469","솔직하게%by%토마스 쿡(Thomas Cook)",62
"470","시작되는 연인들을 위해%by%이원진",62
"471","여름날 (feat. 페퍼톤스 신재평)%by%유희열",62
"472","여행을 떠나요%by%이승기",62
"473","오래전 그날%by%윤종신",62
"474","Chocolate Drive%by%모이다 밴드(Moida Band)",61
"475","The Lady (feat. Bumkey(범키) & Dok2(도끼))%by%투엘슨(2LSON)",61
"476","겨울 이야기 (Radio ver.)%by%DJ DOC",61
"477","내가 니 편이 되어줄게 (feat. 하은)%by%커피소년",61
"478","비처럼 음악처럼%by%김현식",61
"479","웃으며 넘길래%by%제이레빗(J Rabbit)",61
"480","으쌰! 으쌰!%by%신화",61
"481","전화번호%by%지누션(Jinusean)",61
"482","It Was In Shiraz (이별의 그늘)%by%신예원",60
"483","Right Now%by%싸이(Psy)",60
"484","기억의 습작%by%김동률",60
"485","나 어릴적 꿈%by%터보(Turbo)",60
"486","나란 놈은 답은 너다 (feat. 하림)%by%리쌍(Leessang)",60
"487","내 여친%by%포맨",60
"488","동경소녀 (feat. 옥상달빛 김윤주)%by%요조(Yozoh)",60
"489","본능적으로 (feat. Swings)%by%강승윤 [WINNER]",60
"490","불꽃놀이 (Fireworks)%by%다이나믹 듀오(Dynamic Duo)",60
"491","울지마%by%브로콜리너마저",60
"492","일년이면%by%휘성",60
"493","잊을께%by%YB",60
"494","처음 사랑하는 연인들을 위해 (반말송)%by%정용화(Jung Yong Hwa)",60
"495","충분히 예뻐 (feat. 산체스 Of 팬텀)%by%버벌진트(Verbal Jint)",60
"496","향수%by%버스커 버스커(Busker Busker)",60
"497","홀로 크리스마스 (With 나비)%by%마이티 마우스(Mighty Mouth)",60
"498","Festival%by%엄정화",59
"499","Good Bye Sadness, Hello Happiness%by%t윤미래",59
"500","Good Night (feat. Junggigo, Elly)%by%피노다인(Pinodyne)",59
"501","illa illa (일라 일라)%by%JUNIEL(주니엘)",59
"502","Love Love Love%by%에픽 하이(Epik High)",59
"503","Tonight%by%BIGBANG",59
"504","고백 (Go Back) (feat. 정인)%by%다이나믹 듀오(Dynamic Duo)",59
"505","내게 오는 길%by%성시경",59
"506","당신은 참..%by%성시경",59
"507","봄이 와 (feat. 롤러코스터)%by%김현철",59
"508","잠시만 안녕 (Original)%by%엠씨 더 맥스(M.C the Max)",59
"509","전활 받지 않는 너에게%by%2AM",59
"510","출첵 (feat. 나얼 Of Browneyed Soul)%by%다이나믹 듀오(Dynamic Duo)",59
"511","하지 못한 말%by%노을",59
"512","Amelie%by%포터블 그루브 나인(Portable Groove 09)",58
"513","Dash%by%백지영",58
"514","Hello!%by%포맨",58
"515","Just The Two Of Us%by%어반 자카파(Urban Zakapa)",58
"516","Lovey-Dovey%by%티아라(T-ara)",58
"517","Officially Missing You, Too%by%긱스(Geeks)",58
"518","Romeo N Juliet%by%클래지콰이(Clazziquai)",58
"519","Sea Of Love%by%플라이 투 더 스카이(Fly To The Sky)",58
"520","가만히 눈을 감고 (New Acoustic ver.)%by%정재욱",58
"521","가을이 오면%by%서영은",58
"522","그녀가 나를 보네...%by%브라운 아이즈(Brown Eyes)",58
"523","외로움증폭장치 (브래드 드럼 한판 쉬기)%by%버스커 버스커(Busker Busker)",58
"524","행복하지 말아요%by%엠씨 더 맥스(M.C the Max)",58
"525","A%by%레인보우(Rainbow)",57
"526","BLUE%by%BIGBANG",57
"527","Coffeetalgia (duet with 성시경)%by%해이(Hey)",57
"528","겨울이 오면 (With 테이)%by%임재범",57
"529","늦가을 (feat. 규현)%by%윤종신",57
"530","다시 시작해보자%by%김동률",57
"531","사랑이 지나가면%by%이문세",57
"532","살랑살랑%by%조원선",57
