Title,Artist,cnt
그립고 그립고 그립다,케이윌(K.Will),100
별 짓 다해봤는데,알리(Ali),99
한 남자,김종국,99
나는 그 사람이 아프다 (feat. 타루),에피톤 프로젝트(Epitone Project),99
Gee,소녀시대,99
아름다운 날들,장혜진,98
신촌을 못가,포스트맨(Postmen),98
전부 너였다,노을,98
야상곡(夜想曲),김윤아,98
봄날은 간다 - 영화 '봄날은 간다' 中에서,김윤아,98
팥빙수,윤종신,98
우리 참 좋았는데 (duet with 박정현),성시경,98
Ballerino(발레리노),리쌍(Leessang),97
Je T'aime,해이(Hey),96
오늘밤은 어둠이 무서워요,10cm(십센치),96
첫사랑,버스커 버스커(Busker Busker),96
대낮에 한 이별 (feat. 선예 Of Wonder Girls),박진영,96
가슴이 뛴다,케이윌(K.Will),95
기대해,걸스데이(Girl's Day),95
어떤가요,화요비,95
Rain,이적,95
광대 (With BMK),리쌍(Leessang),94
첫 이별 그날 밤,아이유(IU),94
Think About' Chu,아소토 유니온(Asoto Union),94
오랜만이야,임창정,94
같이 걸을까,이적,93
좋다,데이브레이크(daybreak),93
멀어 (feat. Beenzino),프라이머리(Primary),93
우리 사랑하게 됐어요,가인 [브라운아이드걸스],92
사랑은...향기를 남기고,테이(Tei),92
감사 (Bonus Track),김동률,92
그랬나봐,김형중,92
Sunshine,짙은(Zitten),92
선인장 (Acoustic ver.),에피톤 프로젝트(Epitone Project),92
립스틱 (Lipstick),오렌지캬라멜(Orange Caramel),91
커플 (Couple),젝스키스(Sechs Kies),90
3!4!,룰라(Roo'Ra),90
바다,유피(UP),90
광화문연가,이수영,90
가시,버즈(Buzz),89
애송이의 사랑,양파,89
비상,임재범,89
들었다 놨다,데이브레이크(daybreak),89
STEP,카라(Kara),88
다시 사랑 할 수 있을까 (feat. 다비치),포맨,88
사랑인가요,박새별,88
"조금씩, 천천히, 너에게 (With 타루)",노리플라이(no reply),88
사랑한다는 말로도 위로가 되지 않는,브로콜리너마저,88
내입술...따뜻한 커피처럼,샵(S#arp),88
바라만 봐도 좋은데,노리플라이(no reply),88
동경,박효신,88
보통날,지오디(god),88
그대네요,성시경,88
아파 (Slow),투애니원(2NE1),88
...안 되나요... (부제: 화양연화),휘성,87
첫사랑이죠,아이유 ＆ 나윤권,87
사랑 빛,씨엔블루(CNBLUE),87
Sexy Love,티아라(T-ara),87
Just A Feeling,어반 자카파(Urban Zakapa),86
12월 32일,별,86
길,지오디(god),86
샤이보이 (Shy Boy),시크릿(Secret),86
Promise U,바이브(Vibe),86
살다가 한번쯤,포맨,86
챠우챠우 - 아무리 애를 쓰고 막아 보려 해도 너의 목소리가 들려,델리 스파이스(Deli Spice),85
말해줘 (feat. 엄정화),지누션(Jinusean),85
나를 사랑했던 사람아,허각,84
사랑에 아파본 적 있나요,린(LYn),84
애상,10cm(십센치),84
그땐 미처 알지 못했지,이적,84
우리 처음 만난 날,한희정,84
시작,박기영,84
여름안에서,서연,84
심장이 없어,에이트(8Eight),83
기적 (duet with 이소은),김동률,83
발걸음,에메랄드 캐슬(Emerald Castle),82
애인... 있어요,이은미,82
속아도 꿈결,가을방학,82
Little Star,스탠딩 에그(Standing Egg),82
1월부터 6월까지 (feat. 윤종신),공일오비(015B),81
Heaven,김현성,81
가수가 된 이유,신용재 [4men],81
My Soul,줄라이(July) [뉴에이지],81
듣고 있어?,스윙스(Swings),81
Stay,넬(Nell),81
기다리다,윤하(Younha/ユンナ),80
먼지가 되어,김광석,80
연인,김연우,79
사랑해,스윗소로우(SWEET SORROW),79
귀여워 (With 권정열 Of 10cm),별,79
한번만 더,나얼(Na-Ul),79
제발,김범수,78
사랑과 전쟁 (Narr. 하하),다비치,78
Gentleman,싸이(Psy),78
당신과의 키스를 세어보아요,화요비,78
별 빛이 내린다,안녕 바다,78
기대,나윤권,77
내일을 묻는다 (Album Edit),제이레빗(J Rabbit),77
지나간다,김범수,77
토요일 오후에,라즈베리필드,77
너무 아픈 사랑은 사랑이 아니었음을,김광석,77
사랑의 바보,더 넛츠(The Nuts),77
난 사랑에 빠졌죠,박지윤,77
내 삶의 반,한경일,77
All For You,쿨(COOL),77
Replay,김동률,77
사랑보다 깊은 상처 (duet with 임재범),박정현,76
그런일은,화요비,76
천생연분 (Rave),솔리드(Solid),76
사랑 Two,윤도현,75
정류장,버스커 버스커(Busker Busker),75
복숭아,아이유(IU),75
"그리고, 남겨진 것들",넬(Nell),75
슬픔활용법,김범수,75
그리워,메이트(Mate),75
그때 또 다시 (Again),임창정,74
Must Have Love (우리들의 겨울),SG워너비,74
마지막 사랑,박기영,74
아니면서,성시경,74
그대 (Original ver.),브라운 아이드 소울(Brown Eyed Soul),74
집에 가지마,G-DRAGON,74
그대 내게 다시 (Guitar ver.),럼블 피쉬(Rumble Fish),74
바다의 왕자,박명수,74
내사랑 내곁에,김현식,74
남자답게,플라이 투 더 스카이(Fly To The Sky),74
산들산들,언니네 이발관,73
얼음연못,두번째 달,73
여름 안에서,듀스(Deux),73
그대 내품에,유재하,73
유자차,브로콜리너마저,73
바야흐로 사랑의 계절 (With 박새별),이한철,73
자기야 여보야 사랑아,린(LYn),72
1994년 어느 늦은 밤,장혜진,72
아틀란티스 소녀,보아(BoA),72
