Rank,Title,Artist,Date
24,삐딱하게 (Crooked),G-DRAGON,20150709
25,나의 옛날이야기,아이유(IU),20150709
26,보헤미안 걸프렌드 ,몽구스(Mongoose),20150709
27,NoNoNo,에이핑크(Apink),20150709
28,사랑... 그게 뭔데,양파,20150709
29,보통,Lucia(심규선),20150709
30,It Was You,대호(Daeho),20150709
31,Hot Summer,에프엑스(f(x)),20150709
32,비가 온다,강승윤 [WINNER],20150709
33,200%,악동뮤지션(AKMU),20150709
34,짧은 치마 (Miniskirt),에이오에이(AOA),20150709
35,Missing You,플라이 투 더 스카이(Fly To The Sky),20150709
36,Give Love,악동뮤지션(AKMU),20150709
37,비가 오는 날엔,비스트(Beast),20150709
38,중독된 사랑,조장혁,20150709
39,빠빠빠,크레용팝(Crayon Pop),20150709
40,Give It To Me,씨스타(Sistar),20150709
41,여름의 오후 (Album ver.),랄라스윗(lalasweet),20150709
42,고래의 꿈 (Falling In Love Again) (feat. 김영근 - Bobby'S Father),바비 킴(Bobby Kim),20150709
43,Love Blossom (러브블러썸),케이윌(K.Will),20150709
44,장마,정인,20150709
45,휘파람,로이킴,20150709
46,"Love (feat. Bumkey, Paloalto)",프라이머리(Primary),20150709
47,여름밤,헤르쯔 아날로그(Herz Analog),20150709
48,여름 밤 탓,슈가볼(Sugarbowl),20150709
49,바라만 봐도 좋은데,노리플라이(no reply),20150709
50,까만안경,이루(Eru),20150709
51,눈물나는 날에는,김연우,20150709
52,Rain Drop,아이유(IU),20150709
53,넌 너무 야해 (The Way You Make Me Melt) (feat. 긱스),씨스타(Sistar),20150709
54,봄봄봄,로이킴,20150709
55,이럴거면,아이비(IVY),20150709
56,그대 내게 다시,이기찬,20150709
57,기대해,걸스데이(Girl's Day),20150709
58,잠 못 드는 밤 비는 내리고 (박광현 <잠도 오지 않는 밤에> 삽입),김건모,20150709
59,사랑이 지나가면,아이유(IU),20150709
60,Rain & Cry,"15&(박지민, 백예린)",20150709
61,감기,이기찬,20150709
62,하루하루,BIGBANG,20150709
63,Rainy,타루(Taru),20150709
64,우산,윤하(Younha/ユンナ),20150709
65,Let It Try,코요태,20150709
66,미워요,정인,20150709
67,안녕 나의 사랑,성시경,20150709
68,거짓말 거짓말 거짓말,이적,20150709
69,추억은 사랑을 닮아,박효신,20150709
70,와일드 (Wild),나인뮤지스(Nine Muses),20150709
71,Rain,김예림 [투개월],20150709
72,우리 무슨 사이야? (With 범키),애즈 원(As One),20150709
73,말해줘요,걸스데이(Girl's Day),20150709
74,슬픔활용법,김범수,20150709
75,Mr.Mr.,소녀시대,20150709
76,이 밤이 지나면,임재범,20150709
77,Something,걸스데이(Girl's Day),20150709
78,비가 오는 날엔,비스트(Beast),20150709
79,넘버나인 (No.9),티아라(T-ara),20150709
80,우산 (feat. 윤하),에픽 하이(Epik High),20150709
81,립스틱 (Lipstick),오렌지캬라멜(Orange Caramel),20150709
82,B.B.B (Big Baby Baby),달샤벳(Dal★shabet),20150709
83,Trouble Maker,트러블메이커(Troublemaker),20150709
84,너랑 나,아이유(IU),20150709
85,공원에서,유희열,20150709
86,어떤 그리움,성시경,20150709
87,짧은머리,허각,20150709
88,Twist King,터보(Turbo),20150709
89,STEP,카라(Kara),20150709
90,Can't Nobody,투애니원(2NE1),20150709
91,Viva 청춘,딕펑스(Dick Punks),20150709
92,결혼까지 생각했어,휘성,20150709
93,그땐 그땐 그땐,슈프림팀(Supreme Team),20150709
94,여름밤의 꿈,아이유(IU),20150709
95,오늘 뭐해,포미닛(4minute),20150709
96,사랑한다는 흔한 말,김연우,20150709
97,전부 너였다,노을,20150709
98,별 짓 다해봤는데,알리(Ali),20150709
99,눈물,리아(Riaa),20150709
100,"그래, 너",스탠딩 에그(Standing Egg),20150709
1,너의 의미 (feat. 김창완),아이유(IU),20150710
2,한여름밤의 꿀,산이(San E),20150710
3,금요일에 만나요 (feat. 장이정 Of History),아이유(IU),20150710
4,벌써 1년,윤건,20150710
5,썸 (feat. 릴보이 Of 긱스),소유,20150710
6,까탈레나 (Catallena),오렌지캬라멜(Orange Caramel),20150710
7,NoNoNo,에이핑크(Apink),20150710
8,봄 사랑 벚꽃 말고,하이포(HIGH4),20150710
9,야생화,박효신,20150710
10,그 중에 그대를 만나,이선희,20150710
11,"눈, 코, 입",태양,20150710
12,Hot Summer,에프엑스(f(x)),20150710
13,생각이 나,부활,20150710
14,단발머리 (Short Hair),에이오에이(AOA),20150710
15,해변의 여인,쿨(COOL),20150710
